# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

3514	29582,7	245,0	2999,7	46,7
3524	29145,7	182,4	2960,3	55,0
3532	28995,1	273,0	2928,1	77,9
3541	28688,0	242,0	2839,1	53,7
3549	28183,7	161,3	2741,1	82,5
3558	27972,0	184,5	2654,9	45,7
3567	27731,6	195,7	2508,6	66,7
3575	27304,1	252,5	2336,8	156,5
3584	27421,5	175,3	2299,1	78,0
3593	27062,0	146,1	2149,5	57,6
3602	26899,5	139,2	1965,7	91,5
3611	26774,2	230,2	1891,9	63,3
3620	26660,4	92,5	1632,4	66,3
3629	26543,0	191,3	1464,4	107,9
3638	26600,5	116,5	1400,9	42,5
3646	26687,1	118,6	1233,6	83,3
3655	26642,1	122,4	1144,2	41,8
3664	26825,7	215,6	1071,3	49,6
3672	26901,3	201,0	966,3	38,8
3681	27148,0	260,9	880,3	33,0
3690	27394,0	220,0	797,6	35,7
3699	27605,3	252,3	746,9	25,1
3708	27948,9	228,7	752,3	24,7
3717	28597,7	397,9	755,2	32,5
3726	28550,6	206,4	767,2	41,9
3734	28903,6	300,3	797,5	41,5
3743	29368,1	223,4	884,2	52,2
3752	29591,2	179,0	929,1	57,6
3761	29856,2	184,8	1039,2	34,3
3770	30141,9	176,3	1115,6	47,3
3778	30450,4	187,1	1234,4	76,1
3788	30754,3	262,5	1438,5	33,4
3796	31043,4	158,9	1542,1	60,9
3805	31094,4	211,2	1661,7	66,4
3814	31194,9	258,3	1774,8	84,7
3822	31428,2	139,1	2025,0	65,9
3831	31379,8	177,4	2162,8	54,6
3840	31524,1	143,8	2278,2	111,7
3850	31419,1	100,2	2421,8	101,1
3858	31275,6	155,4	2522,6	75,5
3867	31221,0	170,0	2726,0	71,3
3876	31039,4	267,4	2817,8	70,4
3884	30877,1	200,8	2877,9	70,9
3893	30488,6	196,0	2972,0	82,5
3902	30271,6	139,6	3055,6	42,1
3911	30065,1	184,9	3073,1	61,1
3920	29726,0	196,6	3047,6	31,1
3929	29458,3	126,4	3032,1	66,6
3938	29195,1	177,9	3021,2	49,5
3947	28636,9	182,2	2972,4	41,5
3955	28691,0	144,3	2970,0	34,7
3964	28099,4	295,8	2845,5	58,0
3973	27813,6	255,0	2758,2	87,0
3982	27543,2	145,3	2686,7	53,6
3991	27326,0	185,5	2511,4	81,1
4000	27125,1	247,0	2406,9	95,7
4009	26938,7	133,7	2240,5	115,4
4017	26610,1	206,3	2031,7	82,7
4027	26537,4	204,4	1942,0	76,3
4035	26413,1	174,4	1810,4	73,6
4044	26364,5	154,7	1702,9	85,3
4053	26494,5	222,0	1440,4	127,5
4062	26451,8	205,2	1287,9	73,7
4071	26564,9	136,9	1213,5	53,8
4080	26916,9	138,1	1043,5	42,8
4089	26953,7	120,6	970,3	48,5
4097	27334,2	136,0	851,9	25,1
4107	27463,6	125,4	788,9	39,1
4115	27819,2	112,4	756,3	30,3
4125	27997,6	236,5	719,7	18,7
4133	28463,9	215,9	705,6	27,7
4142	28973,2	146,2	753,4	35,5
4151	29229,9	231,1	769,9	44,6
4160	29432,8	190,4	817,9	41,3
4169	29714,7	168,0	871,1	35,0
4178	30061,1	200,8	958,0	22,8
4187	30231,8	246,7	1063,6	58,1
4196	30567,6	194,2	1173,0	61,6
4205	30999,2	190,2	1396,1	55,2
4213	31096,6	136,5	1485,5	90,9
4222	31239,3	173,9	1608,9	67,1
4231	31369,9	289,9	1782,1	50,6
4240	31335,7	183,7	1902,9	74,5
4249	31540,4	165,6	2111,2	63,8
4258	31472,8	163,2	2342,7	96,5
4267	31308,2	165,4	2447,6	76,6
4276	31198,0	244,5	2587,6	71,2
4284	31016,6	133,1	2722,2	71,2
4294	30933,3	278,0	2776,8	77,7
4303	30795,6	204,5	2823,2	58,3
4312	30369,6	134,6	2967,0	39,8
4320	29934,6	348,8	3040,8	46,0
4329	29820,9	253,6	3065,5	64,4
4339	29531,9	227,2	3064,4	72,5
4348	29510,3	120,4	3114,5	82,3
4356	29012,8	270,1	3095,0	81,0
4364	28473,4	245,3	3035,3	58,9
4374	28023,2	137,6	2936,8	38,3
4383	27910,7	203,5	2924,7	54,3
4392	27660,8	164,6	2812,2	70,2
4400	27472,9	176,5	2733,3	58,0
4410	27100,7	155,9	2562,4	56,2
4419	27014,2	189,9	2513,1	47,2
4427	26635,9	255,9	2276,1	91,9
4437	26589,8	127,5	2098,4	62,1
4446	26393,3	169,4	1939,3	61,4
4455	26422,5	170,3	1850,0	56,8
4464	26411,7	173,0	1684,4	67,0
4473	26544,2	154,0	1519,4	61,2
4482	26666,4	147,1	1382,6	55,7
4490	26674,7	236,5	1211,8	58,4
4500	27033,5	219,8	1061,7	39,3
4509	27309,8	136,7	924,6	42,9
4518	27284,6	265,6	909,3	72,1
4527	27524,7	214,5	828,4	43,6
4537	28005,4	219,0	751,7	43,5
4545	28259,2	225,4	706,0	31,5
4554	28725,8	286,3	704,9	19,9
4562	28958,2	176,2	682,8	20,5
4572	29343,5	123,4	721,7	28,9
4581	29627,5	247,1	746,8	23,4
4589	30037,6	179,1	884,0	32,8
4598	30216,6	250,2	875,5	36,9
4608	30418,7	291,5	1007,8	74,3
4617	30682,4	211,2	1123,5	55,1
4625	30957,9	166,7	1274,1	25,4
4634	31094,9	199,1	1391,6	68,3
4643	31210,1	165,0	1581,2	82,8
4653	31311,2	138,1	1682,3	84,1
4661	31379,2	123,8	1956,0	53,1
4670	31339,9	191,9	2067,0	101,4
4679	31324,5	165,2	2303,3	74,1
4688	31041,8	108,4	2416,8	85,6
4697	31016,8	166,8	2543,3	85,3
4706	30956,2	248,8	2663,0	70,1
4716	30419,3	234,9	2843,2	56,8
4725	30384,1	217,5	2856,7	51,2
4733	30147,3	278,8	2977,5	69,1
4742	29642,8	224,2	3031,9	68,3
4752	29459,4	143,7	3097,5	74,6
4761	29122,7	213,4	3094,1	74,6
